Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.21102,0.16764,0.95856,0,0,0,12.048,0.096862,1.9643E-18,5.982E-18,0.33766,1.9892E-18,0.25381,0,0,0,0,0,0,package://FootWheel/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/base_link.STL,,身体-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFU_Link,-0.075,-0.005,0.0033736,0,0,0,0.078366,1.5653E-05,-6.4433E-22,4.3199E-20,0.00019382,7.1993E-22,0.00017947,0,0,0,0,0,0,package://FootWheel/meshes/LFU_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/LFU_Link.STL,,大腿-3,Origin_LFU_J,基准轴8,LFU_J,revolute,-0.011018,-0.79856,0.15749,0,-1.2831,0,base_link,0,1,0,100,2.01,-1.57,1.57,,,,,,,,
LFD_Link,0.1,0.005,-1.7347E-17,0,0,0,0.088009,1.2735E-05,-1.786E-21,6.0457E-20,0.00037097,2.103E-22,0.0003597,0,0,0,0,0,0,package://FootWheel/meshes/LFD_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/LFD_Link.STL,,小腿-3,Origin_LFD_J,基准轴6,LFD_J,revolute,-0.15,0,0,0,1.1789,0,LFU_Link,0,1,0,100,2.01,-1.57,1.57,,,,,,,,
LFW_Link,-0.025161,-9.7145E-17,-5.5511E-17,0,0,0,0.39735,0.00050053,-1.0594E-22,-6.7504E-22,0.0003324,2.0329E-20,0.0003324,0,0,0,0,0,0,package://FootWheel/meshes/LFW_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/LFW_Link.STL,,车轮-3,Origin_LFW_J,基准轴5,LFW_J,continuous,0.2,0.01,0,1.8597,0,-1.5708,LFD_Link,1,0,0,,,,,,,,,,,,
LBU_Link,-0.075,-0.005,0.0033736,0,0,0,0.078366,1.5653E-05,-2.006E-21,5.421E-20,0.00019382,7.8608E-22,0.00017947,0,0,0,0,0,0,package://FootWheel/meshes/LBU_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/LBU_Link.STL,,大腿-4,Origin_LBU_J,基准轴9,LBU_J,revolute,-0.41102,-0.79856,0.15749,0,-0.83872,0,base_link,0,1,0,100,2.01,-1.57,1.57,,,,,,,,
LBD_Link,0.1,0.005,0,0,0,0,0.088009,1.2735E-05,-1.671E-21,7.2845E-20,0.00037097,-1.6344E-22,0.0003597,0,0,0,0,0,0,package://FootWheel/meshes/LBD_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/LBD_Link.STL,,小腿-4,Origin_LBD_J,基准轴7,LBD_J,revolute,-0.15,0,0,3.1416,1.4555,3.1416,LBU_Link,0,1,0,100,2.01,-1.57,1.57,,,,,,,,
LBW_Link,-0.025161,-1.3323E-15,-2.1649E-15,0,0,0,0.39735,0.00050053,-1.5021E-21,7.3332E-21,0.0003324,0,0.0003324,0,0,0,0,0,0,package://FootWheel/meshes/LBW_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/LBW_Link.STL,,车轮-4,Origin_LBW_J,基准轴4,LBW_J,continuous,0.2,0.01,0,2.6504,0,-1.5708,LBD_Link,1,0,0,,,,,,,,,,,,
RFU_Link,-0.075,-0.005,0.0033736,0,0,0,0.078366,1.5653E-05,-1.9913E-21,-4.7857E-20,0.00019382,1.3933E-21,0.00017947,0,0,0,0,0,0,package://FootWheel/meshes/RFU_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/RFU_Link.STL,,大腿-2,Origin_RFU_J,基准轴8,RFU_J,revolute,-0.011018,-1.1086,0.15749,0,-0.93229,0,base_link,0,1,0,100,2.01,-1.57,1.57,,,,,,,,
RFD_Link,0.1,-0.005,1.3878E-17,0,0,0,0.088009,1.2735E-05,-1.2773E-21,2.9646E-20,0.00037097,-1.2615E-21,0.0003597,0,0,0,0,0,0,package://FootWheel/meshes/RFD_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/RFD_Link.STL,,小腿-2,Origin_RFD_J,基准轴11,RFD_J,revolute,-0.15,-0.01,0,3.1416,1.316,3.1416,RFU_Link,0,1,0,100,2.01,-1.57,1.57,,,,,,,,
RFW_Link,-0.025161,-3.8858E-16,2.4633E-16,0,0,0,0.39735,0.00050053,-9.8849E-37,-7.7659E-22,0.0003324,-2.0666E-38,0.0003324,0,0,0,0,0,0,package://FootWheel/meshes/RFW_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/RFW_Link.STL,,车轮-2,Origin_RFW_J,基准轴11,RFW_J,continuous,0.2,-0.01,0,0.67746,0,1.5708,RFD_Link,1,0,0,,,,,,,,,,,,
RBU_Link,0.075,0.005,0.0033736,0,0,0,0.078366,1.5653E-05,-1.442E-21,1.152E-19,0.00019382,1.092E-21,0.00017947,0,0,0,0,0,0,package://FootWheel/meshes/RBU_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/RBU_Link.STL,,大腿-1,Origin_RBU_J,基准轴9,RBU_J,revolute,-0.41102,-1.1086,0.15749,0,0.77945,-3.1416,base_link,0,-1,0,100,2.01,-1.57,1.57,,,,,,,,
RBD_Link,0.1,0.005,1.6653E-16,0,0,0,0.088009,1.2735E-05,6.0246E-22,-7.6614E-19,0.00037097,-1.7898E-21,0.0003597,0,0,0,0,0,0,package://FootWheel/meshes/RBD_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/RBD_Link.STL,,小腿-1,Origin_RBD_J,基准轴10,RBD_J,revolute,0.15,0.01,0,0,1.5329,0,RBU_Link,0,1,0,100,2.01,-1.57,1.57,,,,,,,,
RBW_Link,-0.025161,1.3878E-17,0,0,0,0,0.39735,0.00050053,-9.8849E-37,2.2476E-20,0.0003324,-2.0666E-38,0.0003324,0,0,0,0,0,0,package://FootWheel/meshes/RBW_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FootWheel/meshes/RBW_Link.STL,,车轮-1,Origin_RBW_J,基准轴3,RBW_J,continuous,0.2,0.01,0,-2.4,0,-1.5708,RBD_Link,1,0,0,,,,,,,,,,,,
